"player_id","trim_name","player_name","position","status","draft_year","years_played","gsis_id"
4319,"FERNANDOVELASCO","Fernando Velasco","OL","RET",2008,9,NA
4323,"EDWARDWILLIAMS","Edward Williams","WR","RET",2008,2,NA
4327,"DANNYWOODHEAD","Danny Woodhead","WR","RET",2009,2,"00-0026019"
4327,"DANNYWOODHEAD","Danny Woodhead","RB","RET",2008,9,"00-0026019"
4363,"ERICBAKHTIARI","Eric Bakhtiari","LB","RET",2008,5,NA
4365,"BRANDONCARR","Brandon Carr","DB","ACT",2007,11,"00-0026280"
4377,"ISAIAHGARDNER","Isaiah Gardner","CB","RET",2008,1,NA
4379,"DERRICKGRAY","Derrick Gray","DL","RET",2008,2,NA
4381,"GARRETTHARTLEY","Garrett Hartley","K","RET",2008,8,"00-0025824"
4387,"RODNEYKINLAW","Rodney Kinlaw","RB","RET",2008,1,NA
4393,"RYANMUNDY","Ryan Mundy","CB","RET",2008,8,NA
4397,"MARCUSRICHARDSON","Marcus Richardson","LB","RET",2008,1,NA
4399,"SHANESIMMONS","Shane Simmons","LB","RET",2008,2,NA
4401,"ANDYSTUDEBAKER","Andy Studebaker","LB","RET",2008,8,NA
4403,"HILEETAYLOR","Hilee Taylor","DL","RET",2008,4,NA
4423,"PATRICKCARTER","Patrick Carter","WR","RET",2008,4,NA
4425,"MIKEFLADELL","Mike Fladell","OL","RET",2008,1,NA
4427,"RONGIRAULT","Ron Girault","CB","RET",2008,1,NA
4431,"KELLYPOPPINGA","Kelly Poppinga","LB","RET",2008,1,NA
4435,"BRANDONRENKART","Brandon Renkart","LB","RET",2008,3,NA
4437,"JABARIARTHUR","Jabari Arthur","WR","RET",2008,1,NA
4439,"DIONTEJOHNSON","Dionte Johnson","RB","RET",2008,1,NA
4449,"CHRISCHAMBERLAIN","Chris Chamberlain","LB","RET",2008,6,NA
4451,"REGGIECORNER","Reggie Corner","CB","RET",2008,5,NA
4453,"KYLEDEVAN","Kyle DeVan","OL","RET",2008,5,NA
4463,"OMARCUFF","Omar Cuff","RB","RET",2008,1,NA
4467,"BORUUD","Bo Ruud","LB","RET",2008,2,NA
4471,"CARYWILLIAMS","Cary Williams","CB","RET",2008,8,NA
4473,"JERONHARVEY","Jeron Harvey","WR","RET",2008,1,NA
4475,"JOEYLAROCQUE","Joey LaRocque","LB","RET",2008,2,NA
4479,"KAREEMMOORE","Kareem Moore","CB","RET",2008,4,NA
4483,"WILLIAMHAYES","William Hayes","DE","ACT",2007,11,"00-0026243"
4485,"JOSHSITTON","Josh Sitton","OG","ACT",2007,11,NA
4487,"MATTHEWSLATER","Matthew Slater","WR","ACT",2007,11,"00-0026293"
4491,"ROBERTHENDERSON","Robert Henderson","DL","RET",2008,2,NA
4497,"NATEGARNER","Nate Garner","OL","RET",2008,7,NA
4499,"LANDONCOHEN","Landon Cohen","DL","RET",2008,7,NA
4503,"CHESTERADAMS","Chester Adams","OL","RET",2008,1,NA
4505,"CHAZSCHILENS","Chaz Schilens","WR","RET",2008,6,"00-0026366"
4511,"KEITHZINGER","Keith Zinger","TE","RET",2008,4,NA
4513,"MIKEMERRITT","Mike Merritt","TE","RET",2008,1,NA
4515,"ROBJACKSON","Rob Jackson","DL","RET",2008,2,NA
4515,"ROBJACKSON","Rob Jackson","LB","RET",2010,5,NA
4517,"KENNARDCOX","Kennard Cox","CB","RET",2008,5,NA
71195,"RAMSESBARDEN","Ramses Barden","WR","RET",2009,6,"00-0026902"
71201,"TRAVISBECKUM","Travis Beckum","TE","RET",2009,5,"00-0027070"
71203,"DARRYBECKWITH","Darry Beckwith","LB","RET",2009,3,NA
71207,"RHETTBOMAR","Rhett Bomar","QB","RET",2009,3,NA
71213,"TOMBRANDSTATER","Tom Brandstater","QB","RET",2009,4,"00-0027121"
71215,"TRAVISBRIGHT","Travis Bright","OL","RET",2009,2,NA
71217,"KENNYBRITT","Kenny Britt","WR","ACT",2008,10,"00-0027006"
71219,"EBENBRITTON","Eben Britton","OL","RET",2009,6,NA
71227,"EVERETTEBROWN","Everette Brown","DL","RET",2009,6,NA
71227,"EVERETTEBROWN","Everette Brown","LB","RET",2014,1,NA
71231,"DAVIDBUEHLER","David Buehler","K","RET",2009,3,NA
71233,"DEONBUTLER","Deon Butler","WR","RET",2009,5,"00-0027063"
